#,Scenario (verbatim from your sheet),Suite file,Test name(s),Steps automated,Expected result,"Actual result (from live runs, 31 Aug 2026)",Status
1,Verify that user can perform 2 Intake to Payments full flow for 1 CXO,testSuiteCxoTwoIntakePayments.spec.js,"one CXO of 100 qty funds two 50-qty intakes, each paid in full","1. Create ONE CXO (line item qty 100 x 2,000 = 200,000) and approve it to Released.
2. Write a private fixture copy per chain, both seeded with that savedCxo and with invoice-number seeds 500 apart. Every save*Code helper rewrites pages/NSEFoundationData.json, so two chains sharing it would open each other's PO/invoice.
3. Reserve the run's whole invoice-number range in the shared fixture UP FRONT — a run that dies mid-flight has still burned its numbers on the server, and the app blocks a duplicate reference by DISABLING Proceed (silent block).
4. CHAIN A - intake (qty 50, linked to the CXO) -> approve to Released -> Process -> Send For Sourcing -> RFX -> approve -> quote (Commercial, INR, unit rate 2,000) -> foreclose -> award -> PR edit+submit -> wait Processed/Completed -> PRC -> PO -> approve -> GRN (received = PO qty) -> approve to Inwarded.
5. CHAIN A invoice: PO -> Create -> Invoice -> upload document, invoice no. + date, period/extra billing No -> FIX -> Item Matching -> tick the chain's GRN -> Submit -> approve every stage until the invoice settles.
6. CHAIN A payment: POST the acknowledgement (EXPENSE_RECORD_NO = invoice code, response_body_reference = invoice number) -> assert Accounted -> + Payment with paid amount = invoice amount, a unique UTR and today's date -> Submit -> Transactions tab shows the payment Completed.
7. CHAIN B - repeat steps 4-6 with a SECOND intake (qty 50) on the SAME CXO, which by now has 100,000 consumed and 100,000 remaining.
8. Assert the two chains are genuinely separate: different intake codes, different invoice codes, different invoice references, different UTRs.
9. Carry the invoice counter forward into the shared fixture, then restore the other fixtures.
NOTE the chains run SEQUENTIALLY (RUN_PARALLEL=false). Parallel is wired up and was tried: the app loses one of two surrogate quotes submitted at the same moment as the same supplier (RFX-26-268 stayed Released at ""0 out of 1 Supplier"" while RFX-26-267 quoted fine).
RESUME POINTS, so a late failure costs only its own segment: S1_CXO_CODE/S1_CXO_ID (reuse a CXO), S1_RESUME_PR_ID (from a Completed PR), S1_RESUME_INVOICE_ID/CODE/NUMBER (from a settled invoice). S1_ONLY=A|B runs one chain.","One CXO funds two complete Intake-to-Payment flows; both invoices reach Accounted and both payments show Completed, on two distinct sets of records.","PASS (48.2 min, 2026-09-10). CXO-FNSE-26-436 (200,000) carried both flows: chain A INT-FNSE-26-448 -> PO-NSEFN-26-254 -> Invoice-FNSE-26-410 paid 100,000 (UTR ...822651); chain B INT-FNSE-26-449 -> PO-NSEFN-26-255 -> Invoice-FNSE-26-412 paid 100,000 (UTR ...846307). All four distinctness assertions held.
Nine defects were fixed to get here. Pre-existing, in shared helpers: (a) approveSourcingUntilReleased inferred ""approved"" from a MISSING Pending Approval badge and returned with the RFX still pending; (b) _waitForApproveButton allowed only 4s per attempt and reported ""Approve not visible"" on pages that did offer it (12s now); (c) completeIntakeSubmissionPopup clicked Proceed while the Process Request dialog was still loading it disabled; (d) waitForPrStatus waited on the TRANSIENT ""Processed"" and burned 54 polls while PR-NSEFN-26-167 sat Completed (accepts an array now); (e) readInvoiceAmount read the page's ""0.00"" placeholder and entered a ZERO payment (polls for non-zero now); (f) the ack POST had no retry and lost a whole chain to one ETIMEDOUT.
Also fixed in this spec: the invoice counter was only carried forward on success, so failed runs burned references the next run then collided with.",PASS
42,Verify that document can be regenerated and downloaded from the view page of Invoice.,testSuiteCrossModuleDocs.spec.js,Invoice: Regenerate Document / Download Document (2 tests),"1. Open the Invoice listing and open the first row.
2. Read the More menu.
3. Regenerate Document -> assert the POST returns 2xx.
4. Regenerate then Download -> assert the document is non-empty.",The document can be regenerated and downloaded from the Invoice view page.,PASS (2/2). The Invoice menu labels its download 'Download Document' (the Requisition says just 'Download') - the page object handles both.,PASS
43,Verify user can be reassigned for the Requisition.,testSuiteCrossModuleDocs.spec.js,Requisition: Reassign User dialog opens,"1. Find a Requisition in an in-flight status (Submitted / Pending Approval / etc.); fall back to the first row.
2. Open More -> Reassign User.
3. Assert the dialog opens and is titled 'Reassign User'.
4. Assert either a Reassign button or the documented empty state.",A user can be reassigned for the Requisition.,"PASS. NOTE: on a Completed requisition the dialog legitimately reports 'No users are available to be reassigned for the transaction'; the test seeks an in-flight record first and treats the empty state as a recorded outcome, not a silent pass.",PASS
44,Verify user can be reassigned for the PRC.,testSuitePrcView.spec.js,Reassign User is available on the PRC view,"1. Open the Requisition listing (v3) and pick a Completed/Converted PR.
2. Open its Transactions tab -> expand Conversions -> click the PRC-... link.
3. Assert the ""Requisition Conversion View"" opened.
4. Assert the More menu offers ""Reassign User"" and open it.
5. Assert the dialog is titled ""Reassign User"" and that Select User offers real candidates.
6. Close without reassigning (same non-destructive convention as the other Reassign tests).",The Reassign User dialog opens from the PRC view and offers eligible users.,"PASS. PRC-NSEFN-26-122 via PR-NSEFN-26-129. More menu = ""Reassign User"" only. Dialog opened with 13 reassignment candidates (Amey Koli, Aniket Ravindra Pawar, Pranali Devlekar, ...). Closed without reassigning.",PASS
45,Verify user can be reassigned for the Purchase Order.,testSuiteCrossModuleDocs.spec.js,Purchase Order: Reassign User dialog opens,"1. Find a PO in an in-flight status; fall back to the first row.
2. Open More -> Reassign User.
3. Assert the dialog opens and is titled 'Reassign User'.",A user can be reassigned for the Purchase Order.,PASS.,PASS
46,Verify user can be reassigned for the GRN.,testSuiteCrossModuleDocs.spec.js,GRN: Reassign User dialog opens,"1. Find a GRN in an in-flight status; fall back to the first row.
2. Open More -> Reassign User.
3. Assert the dialog opens and is titled 'Reassign User'.",A user can be reassigned for the GRN.,PASS. Reassign User is the ONLY item in the GRN More menu.,PASS
47,Verify user can be reassigned for the Invoice.,testSuiteCrossModuleDocs.spec.js,Invoice: Reassign User dialog opens,"1. Find an Invoice in an in-flight status; fall back to the first row.
2. Open More -> Reassign User.
3. Assert the dialog opens and is titled 'Reassign User'.",A user can be reassigned for the Invoice.,PASS. The Invoice menu also offers 'Reassign Workflow Approver' as a separate action.,PASS
49,Verify clicking the Award link from the PR is opening the RFX award page,testSuiteRequisition.spec.js,Award link opens the RFX award page,"1. Open the Requisition listing and open the first row.
2. Collect the blue cross-transaction links on the page.
3. Click 'Awards' and capture the new tab.
4. Assert the new tab URL matches /rfx/{id}/awards/{id}.",Clicking the Award link from the PR opens the RFX award page.,"PASS. Opened https://nse-capp-v4-uat.aerchain.io/rfx/1385/awards/668 in a NEW TAB. NOTE: these links are blue <div>s with cursor:pointer, NOT anchors - getByRole('link') will never find them.",PASS
50,Verify clicking the Intake link from PR opens the intake.,testSuiteQaClarified.spec.js,QA-clarified scenarios > Requisition raised from an Intake > links back to the Intake it was converted from @S53,"Open Requisition listing; pick the first PR whose Source column is ""intakes"" (PR-NSEFN-26-121); wait for General Details to paint; click the blue ""intakes"" link.",The Intake the PR was converted from opens.,PASS - opened https://nse-capp-v4-uat.aerchain.io/intakes/2201/overview in a new tab.,PASS
51,Verify clicking the Budget link from PR opend the Budget.,testSuiteQaClarified.spec.js,"QA-clarified scenarios > Requisition raised from an Intake > exposes the budget link, which opens the budget @S54","On the same intake-sourced PR, locate the budget link under the ""BRF - Description"" field and click it.",The linked budget opens and shows its details.,"PASS - link labelled ""BRF - Description"" reading ""Dont Touch/HG Auomation PURPOSE""; opens a right-side drawer in place (no new tab) showing Name: Dont Touch, Status: active, Actual budget Rs 9,99,99,99,99,999.",PASS
52,Verify clicking the CXO link from PR opens the CXO,testSuiteRequisition.spec.js,CXO link opens the CXO,"1. Open the first Requisition.
2. Find the blue link whose text starts 'CXO-'.
3. Click it and capture the new tab.
4. Assert the new tab URL matches /cxos/.",Clicking the CXO link from the PR opens the CXO.,PASS. The PR's 'CXO Code' field value (e.g. CXO-FNSE-26-365/1) is clickable and opens the CXO in a new tab.,PASS
53,Verify user can search any line item in line ietem section,testSuitePrEdit.spec.js,line items can be searched in the line-item section,"1. Open the Requisition listing (v3) and switch to the Draft tab.
2. Pick a draft whose Subject contains ""HG Automation"" and which has 2+ line items (952 has 1, so 903 is used).
3. Open /requisitions/903/edit and read all line-item product names.
4. Click the search icon in the Line Items header; a ""Search"" input replaces it.
5. Type a product fragment unique to one row (""Manpower"").
6. Clear the search.
7. Type a term that matches nothing.",The grid filters to the matching line item only; clearing restores every row; a non-matching term empties the grid.,"PASS. 3 line items before. ""Manpower"" -> 1 row (Manpower (T&M)). Cleared -> 3 rows restored. ""XXXXXX_NONEXISTENT_99999"" -> 0 rows.",PASS
54,Verify if Price is increased during PR edit then budget exceed error is displayed,testSuitePrEdit.spec.js,price increased during edit raises Budget Exceeded in the Workflow Summary popup,"1. Open the Requisition listing (v3) -> Draft tab; pick an ""HG Automation"" draft (952).
2. Open /requisitions/952/edit and fill the mandatory General Details (Payment Terms, Expected Delivery Date, Effective from/to, Purchase Type, Inward Required = Yes, Inward Matching = quantity).
3. Set row 1 Suggested Price to 99999999999, leaving Quantity untouched at 100.
4. Assert the quantity did not change (otherwise the test would duplicate 55).
5. Click Submit.
6. Discard the popup so the draft is left untouched.","The Workflow Summary (""Approvers"") popup opens carrying ""Budget Amount is exceeded. Please Contact Budget User."" and a Budget Amend Request block.","PASS. Price 2000 -> 99999999999 (qty held at 100). Popup showed ""Budget Amount is exceeded. Please Contact Budget User."" + Budget Amend Request table (Dont Touch: approved Rs 9,99,99,99,99,999 / available Rs 9,99,93,10,74,099). POST /budget-items/703/validate returned validate:false.",PASS
55,Verify if QTY is increased during PR edit then budget exceed error is displayed.,testSuitePrEdit.spec.js,quantity increased during edit raises Budget Exceeded in the Workflow Summary popup,"1. Open the Requisition listing (v3) -> Draft tab; prefer an award-sourced ""HG Automation"" draft, else intake-sourced (952).
2. Open /requisitions/952/edit and fill the mandatory General Details.
3. Set row 1 Quantity to 99999999 and assert it increased.
4. Assert the f(x) Total Price recalculated from the new quantity.
5. Click Submit.
6. Discard the popup so the draft is left untouched.","The Workflow Summary (""Approvers"") popup opens carrying ""Budget Amount is exceeded. Please Contact Budget User."" and a Budget Amend Request block.","PASS. Qty 100 -> 99999999, Total Price recalculated to 199999998000. Popup showed ""Budget Amount is exceeded. Please Contact Budget User."" + Budget Amend Request table. ABSORBS retired scenario 16 (same assertion, same popup).",PASS
56,Verify after clicking the item name then the item details panel is displayed.,testSuiteRequisition.spec.js,Clicking the item name opens the item details panel,"1. Open the Requisition listing and open the first row.
2. Locate the Product cell's anchor in the ag-Grid line items (pinned-left, col-id=line_items_product).
3. Click it, wait ~1s, click it again (the panel needs two clicks).
4. Assert the right-side drawer is visible and shows this item's name and its Details tab.",Clicking the item name displays the item details panel.,"PASS. The panel opens on the SECOND click - confirmed by QA and by measurement: after one click the drawer paper is off-screen (x=1800, width=1, visibility:hidden); after the second it slides to x=1210, width=590, visible, showing 'Manpower (T&M) | Active | Details | Inventory | Transaction'. An earlier note calling this a defect was WRONG - two things masked it: a visibility check using offsetParent (null for a position:fixed drawer) and a second, permanently-closed MuiDrawer-paper parked off-screen.",PASS
57,Verify after clicking the back button from the PR the PR listing page is displayed.,testSuiteRequisition.spec.js,Back arrow returns to the Requisition listing,"1. Open the Requisition listing and open the first row.
2. Click the in-app back arrow (NOT browser back).
3. Assert the URL returns to /requisitions.",Clicking the back button from the PR shows the PR listing page.,PASS. NOTE: back is an icon-only <p> wrapping an arrowLeft svg with no accessible name and no breadcrumb - the image src is the only stable anchor.,PASS
59,Verify that attachments added in RFX award are carry forwarded to PR to PRC.,testSuiteAwardAttachmentCarry.spec.js,attachments uploaded on the award reach the PR and the PRC (test.skip - HELD),"1. Reuse the stored CXO; buildRfxToForeclose(skipCxo) -> Intake -> RFX -> quote -> foreclose.
2. Analysis -> Award -> allocate qty -> SCROLL to mount the Attachment section (the grid is virtualised: 6 file inputs before scrolling, 21 after).
3. Upload one uniquely-named file into each of the 4 fields (rows 35-38): Commercial Comparison, Vendor Quotes, Justification, Others. Each upload waits for the real S3 PUT.
4. Submit + approve the award; confirm the AWARD retains the files before judging carry-forward.
5. Check the auto-created PR, edit + submit it, then check the auto-created PRC. Award->PR field map (QA): Commercial Comparison->Commercial Comparison, Vendor Quotes->Vendor Quotes, Others->Others, Justification->Justification Att.",All 4 award attachments appear on the auto-created PR and carry through to the PRC.,"HELD 2026-09-11 on QA instruction, after 8 runs. NOT a pass and NOT a defect - parked mid-diagnosis, test.skip so full runs stay green. PROVEN: the 4 fields are award grid rows 35-38 BELOW THE FOLD and only mount after scrolling (6 file inputs before, 21 after); all 4 upload and PERSIST on the submitted award (counts ""1 File"" x4); and CARRY-FORWARD TO THE PR WORKS - the PR edit page shows ""Commercial Comparison [chip 1]"" and ""Others [chip 1]"". BLOCKER: submitPr cannot complete, so the PRC is never reached. The submit dialog reports ""Budget Amount is exceeded. Please Contact Budget User."" with a MANDATORY empty ""Budget Amend Request"", leaving Submit genuinely disabled (not a flaky locator). Needs a decision: lower the line value, fill the amend request, or use a CXO with headroom. OUTSTANDING TEST WORK: readAttachmentFieldValues matches the award page's ""N File"" TEXT, but PR/PRC render an attachment CHIP with a count badge - the reader must learn that form before the PR/PRC assertions mean anything. SIX MEASUREMENT TRAPS cost most of the 8 runs, all test-side, none the app: (a) scanned the awards page instead of the PR (openRequisitionAndSaveCode opens the PR in a NEW TAB; openSavedRequisition is what navigates); (b) trusted the cell's ""Upload 1 File"", which appears BEFORE the S3 PUT completes, so awards submitted empty; (c) read ""No files"" as a verdict on these fields when it belonged to Signature Attachment, an untouched row; (d) asserted on FILENAMES, which these pages never render (counts only); (e) a reader that climbed 4 parents matched an empty state from a page-level block and attributed it to the wrong field; (f) the PR speaks in chips, not ""N File"" text. NOTE the award grid has TWO rows labelled ""Justification"" (a text row and the attachment row), and QA fixed a duplicate ""Justification Att."" field on the PR on 2026-09-11 - fields must be resolved by label AND by holding a file input.",ON HOLD (QA instruction; PR submit blocked by budget)
61,"Verify that an Advance Payment can be requested against a PO and paid successfully. After creating the Invoice, verify that the Advance Payment is correctly deducted from the Invoice amount/balance, and the remaining Invoice amount can be paid successfully.",testSuitePurchaseOrder.spec.js,record which downstream actions an active PO exposes,"1. Open the Purchase Order listing and open a PO of the required status.
2. Open the actions menu.
3. Read every menu item.
4. Assert the base actions are present; record which downstream actions are.",An advance can be requested against a PO and paid; the advance is deducted from the invoice.,"PRECONDITION ONLY. 'Request Advance' is offered on an active PO in an interactive browser, but does NOT render under Playwright (see the discrepancy note). The test records presence rather than asserting it. The advance flow itself is not automated - it creates a real financial transaction against a shared UAT PO.",NOT COVERED (precondition recorded)
62,Verify that a PO can be Short Closed after creating a GRN with partial quantity.,testSuiteShortClose.spec.js,Purchase Order - Short Close > a partially-received PO can be short closed @S65 @S66,"Scan the PO listing for In-progress POs; open each until one still offers Short Close; read the Short Closed Qty on the line items; open the dialog, tick the line items, enter the mandatory reason, confirm; re-read Short Closed Qty and confirm the action is withdrawn.",The PO is short closed and its undelivered balance is closed out.,"PASS - PO-NSEFN-26-200: Short Closed Qty went 0 -> 50 and the action was withdrawn afterwards. CORRECTION: previously recorded as 'action absent' - that was wrong. Short Close sits in the PO detail header but ONLY while the PO is In-progress (partially received); Completed/Cancelled POs never show it, and an already short-closed PO stays In-progress while no longer offering it. NOTE the PO header status does NOT change on short close - asserting on it reports a working feature as broken; the line items' Short Closed Qty is the real signal.",PASS
63,Verify that a PO can be Short Closed after creating a partial-quantity GRN and an Invoice against the GRN.,testSuiteShortClose.spec.js,Purchase Order - Short Close > a partially-received PO can be short closed @S65 @S66,"Scan the PO listing for In-progress POs; open each until one still offers Short Close; read the Short Closed Qty on the line items; open the dialog, tick the line items, enter the mandatory reason, confirm; re-read Short Closed Qty and confirm the action is withdrawn.",The PO is short closed and its undelivered balance is closed out.,PASS (same test) - the same short-close flow covers this; the PO carries partial inward quantity. CORRECTION: previously recorded as 'action absent'.,PASS
65,Verify that a PO can be recalled successfully and its status is updated accordingly to draft,testSuitePoRecall.spec.js,a Pending-Approval PO offers Recall; recalling it with a reason rejects the PO,"1. Build the chain CXO -> Intake -> RFX -> quote -> foreclose -> award -> PR -> PRC -> PO, stopping BEFORE the PO is approved (buildToPoViaCapp with { approvePo: false }).
2. Assert the PO status is Pending Approval - the only status that offers Recall.
3. Open the More menu and assert Recall is present.
4. Click Recall; the reason popup opens.
5. Enter a reason and submit it.
6. Poll the PO status and assert it has left Pending Approval for Rejected.","A PO can be recalled, and its status updates accordingly.","PASS - verified live 2026-09-08 on the DEFAULT self-building path (2 passed, 14.9 min): PO-NSEFN-26-223 went Pending Approval -> Rejected, with the More menu offering Clone / Recall / Reassign User / Reassign Workflow Approver / Regenerate Document. CORRECTS THE EARLIER ""NOT COVERED (action absent) - no Recall action was found in any PO menu at any status checked"". Recall is STATUS-GATED, not absent: it appears only while the PO is Pending Approval, which is the state the PO is in right after it is auto-created (QA, 2026-09-08). Every earlier probe missed it because the chain builder APPROVES the PO the moment it is created, so that status never survived long enough to inspect - hence the new { approvePo: false } option. Confirmed by reading both menus: Pending-Approval PO-NSEFN-26-213 lists Recall; the approved PO-NSEFN-26-220 does not. THE SHEET'S ""DRAFT"" IS WRONG - the end status is REJECTED (QA confirmed; observed on PO-NSEFN-26-222 and PO-NSEFN-26-223). Same class of sheet error as scenario 127's ""240"" where the real limit is 250. The assertion accepts Rejected OR Draft so it stays green if the app is ever changed to match the sheet, but it cannot pass on nothing happening. TWO TRAPS, both of which produced a wrong conclusion first: (a) the reason popup is MANDATORY and submitting without one is refused SILENTLY - the PO sat at Pending Approval through 15 polls, reading exactly like ""Recall does nothing""; (b) readPoStatus's regex omitted ""Rejected"", so a SUCCESSFUL recall reported a null status for 15 polls and the test failed while the app was entirely correct. The companion test in testSuitePurchaseOrder.spec.js that asserts Recall is ABSENT from an active PO's menu remains correct and untouched - it is scoped to Submitted/In-progress, which is where Recall should not appear. Recalling is destructive and single-use, so the test builds its own PO rather than consuming PO-NSEFN-26-213, which scenario 71 reads.",PASS
66,"Verify that after creating a GRN for a PO and matching it with an Invoice, cancelling the Invoice changes the GRN status back to Unmatched.",testSuiteInvoiceCancelGrn.spec.js,cancelling a matched Invoice returns its GRN to Unmatched and frees the qty,"1. Build CXO -> Intake -> RFX -> quote -> foreclose -> award -> PR -> PRC -> PO via the shared chain builder (or RESUME=1 to reuse an existing open PO + inwarded GRN).
2. Create a GRN against the PO and approve it to Inwarded. Capture the code saveGrnCode() RETURNS - reading data.savedGrn.code gets the module-level JSON import, a snapshot from BEFORE the run.
3. BASELINE: assert the fresh GRN is NOT yet matched, so ""it unmatched after cancelling"" cannot pass against a stale already-matched GRN.
4. Create an Invoice against the PO and match it to that GRN; submit.
5. Assert the GRN Matched icon is now progress-completed.
6. RECALL the invoice (a Pending-Approval invoice has NO Cancel action), which moves it to Rejected and reveals Cancel; then Cancel it.
7. Assert the GRN Matched icon is no longer completed (66) and that the PO offers the full quantity for a new Invoice (122 / 151).",Cancelling the Invoice returns the GRN to Unmatched.,"PASS. On PO-NSEFN-26-215 / GRN INW-NSEFN-26-110: matched icon ""completed"" while Invoice-FNSE-26-365 was matched, then ""pending"" after the invoice was cancelled. Run: 1.7 min via RESUME; the full-chain build was separately verified end-to-end through invoice matching (14.8 min).",PASS
67,Verify that the Cancel option is not available for a GRN after it has been fully matched with an Invoice.,testSuiteGrnCancel.spec.js,Cancel is unavailable once a GRN is fully matched with an Invoice,"1. Read the GRN (Inwards) listing and derive each row's match state from the ""Matched"" column ICON (span.progress-completed = fully matched, span.progress-pending = not) - the column has no text.
2. Discover a BASELINE: an unmatched GRN that really does offer Cancel. Skip if none, because otherwise ""Cancel absent"" on a matched GRN proves nothing.
3. Take a matched GRN and confirm on its OWN page that it links an INV- code (the listing INV Code column is empty even when matched).
4. Assert Cancel is not offered - as a top-level button or a More-menu item.",Cancel is not available for a fully matched GRN.,"PASS. Baseline INW-NSEFN-26-108 (unmatched) offers ""New Reversal, Cancel, More"". Target INW-NSEFN-26-106, matched to INV-AUTO-001, offers only ""More, Overview, Transactions"" - no Cancel, and its More menu holds Reassign User only.",PASS
68,Verify that the Cancel option is not available for a GRN after it has been partially matched with an Invoice.,testSuiteGrnCancel.spec.js,a GRN partially matched to an Accounted Invoice cannot be cancelled (@S68),"Builds its own data - a partially matched GRN cannot be found, only made (see the listing note below).
1. CXO -> Intake -> RFX -> award -> PR -> PRC -> PO (shared buildToPoViaCapp).
2. GRN for the FULL PO quantity, asserting PO Quantity == Received (100) BEFORE submit - a GRN raised at 50 would make the later 50-qty invoice a FULL match and silently turn this into scenario 67.
3. Approve the GRN to Inwarded.
4. BASELINE, on THIS SAME GRN while still unmatched: assert Cancel IS offered. Without it the later absence of Cancel proves nothing - /inwards/565 was verified unmatched AND offering no Cancel on 2026-09-03.
5. Invoice for 50 of the 100 from the PO, matched to that GRN in Item Matching, then re-apply qty 50 (Item Matching can push the matched 100 back into the row, which would make it a full match).
6. Approve and acknowledge the invoice through to Accounted.
7. Re-read the SAME GRN and assert Cancel is no longer offered.",Cancel is not available on a GRN once it is partially matched with an Invoice.,"PASS - automated and verified 2026-09-07. Built PO-NSEFN-26-218 -> GRN INW-NSEFN-26-111 (PO Quantity=100, Received=100, Inwarded) -> Invoice-FNSE-26-367 for 50 of 100, matched to that GRN, driven to Accounted. THE PROOF is the before/after on the SAME GRN: unmatched it offered ""New Reversal / Cancel / More / Overview / Transactions""; after the partial match it offered ""New Reversal / More / Overview / Transactions"" - Cancel GONE. ENVIRONMENT FINDING: this UAT has no EBS integration, so even a PO invoice finishes its approvals on Sync Failed rather than Pending Sync (verified on /invoices/1148: Cancel / Re-Initiate / More). approveInvoiceUntilPendingSync therefore needs { acceptSyncFailed: true } or it burns its 12 rounds reloading and throws. Sync Failed still acknowledges to Accounted. ALSO FOUND: the GRN header carries a ""Matched Status: pending"" badge - a better match-state signal than the listing icon, which only ever renders progress-completed or progress-pending and was the original reason a partially matched GRN could not be identified. AND: the GRN ""Invoice Number"" field (INV-AUTO-001) is filled by the chain itself as the supplier document reference - it is NOT a linked invoice, which is why readGrnActions reports an INV- code even on an unmatched GRN; that field is logged, never asserted. S68_RESUME=1 skips the ~40 minute build and re-runs the tail against the GRN/Invoice in NSEFoundationData.json (it cannot re-establish the baseline, and says so). RE-VERIFIED 2026-09-07 END TO END IN ONE RUN (2 passed, 16.1m): PO-NSEFN-26-220 -> GRN INW-NSEFN-26-113 (100) -> Invoice-FNSE-26-369 for 50 of 100 -> Accounted -> Cancel gone. The baseline has now held on THREE independent GRNs (111, 112, 113), so the causal premise is reproducible rather than incidental.",PASS
69,"Verify that when an Invoice is created without matching the available GRN, the Invoice is moved to Disputed status, and after matching the GRN, the required approval workflow is triggered.",testSuiteInvoiceDisputed.spec.js,an invoice that does not match an available GRN is Disputed,"1. Build the full chain CXO -> ... -> PO, then create a GRN for the FULL PO quantity and approve it to Inwarded.
2. PO -> Create -> Invoice -> Select PO Items -> Proceed.
3. Upload the document and fill the invoice header.
4. Submit WITHOUT touching FIX / Item Matching - the GRN is deliberately left unmatched.
5. Poll the invoice detail page and assert the status is Disputed.",An invoice created without matching the available GRN is moved to Disputed.,"PASS - verified live 2026-09-08 (3 passed, 30.2 min for 69 + 13). PO-NSEFN-26-226 with GRN INW-NSEFN-26-115 at the full quantity (PO Quantity=100, Received=100); Invoice-FNSE-26-380 (/invoices/1153) read Disputed on the FIRST poll. The GRN was left deliberately unmatched, so that is the only defect. QA's rule, 2026-09-08, verbatim: ""if GRN is 50 and invoice is for 100 qty then disputed"" / ""if GRN is created and during invoice creation if GRN is not matched then disputed"" / ""if invoice is created without creating a GRN for the PO then Invoice disputed"". EACH TEST BUILDS ITS OWN FRESH PO from the full CXO flow (QA confirmed this is required): the three need DIFFERENT GRN states (none / full / partial), and sharing a PO would hit the known ""2nd invoice sends the full PO qty"" bug, whose SILENT submit block would be indistinguishable from the Disputed-or-not outcome being measured. Invoices are created from CAPP (PO -> Create -> Invoice), the flow that carries the Item Matching step 69 skips. FINDING: Disputed is applied IMMEDIATELY on submit - poll 1 on the detail page - so no approval step is needed, and the Validations popup does NOT refuse an unmatched invoice. TRAP, and it was MY OWN: the afterAll fixture snapshot/restore rolled back invoice.invoiceNumber, which is a MONOTONIC COUNTER, not a fixture. That re-issued a number the server had already consumed and the first run died on the app's duplicate validation (INV-AUTO-119, held by Invoice-FNSE-26-376) with Proceed disabled - the app was entirely correct. Fixed by pages/fixtureGuard.js, which restores fixtures but carries counters FORWARD.",PASS
70,"Verify that when an Invoice is created directly against a PO without a GRN, it is moved to Disputed status, and after creating and matching the GRN, the Invoice is processed correctly.",testSuiteInvoiceDisputed.spec.js,an invoice raised against a PO with NO GRN is Disputed,"1. Build the full chain CXO -> Intake -> RFX -> quote -> foreclose -> award -> PR -> PRC -> PO. No GRN is created.
2. PO -> Create -> Invoice -> Select PO Items -> Proceed.
3. Upload the document and fill the invoice header.
4. Submit WITHOUT any Item Matching (there is no GRN to match).
5. Poll the invoice detail page and assert the status is Disputed.",An invoice created directly against a PO with no GRN is moved to Disputed.,"PASS - verified live 2026-09-08 (2 passed, 15.7 min). PO-NSEFN-26-225 built with no GRN; Invoice-FNSE-26-378 (/invoices/1152) read Disputed on the FIRST poll. QA's rule, 2026-09-08, verbatim: ""if invoice is created without creating a GRN for the PO then Invoice disputed"" / ""if GRN is created and during invoice creation if GRN is not matched then disputed"" / ""if GRN is 50 and invoice is for 100 qty then disputed"". EACH TEST BUILDS ITS OWN FRESH PO from the full CXO flow (QA confirmed this is required): the three need DIFFERENT GRN states (none / full / partial), and sharing a PO would hit the known ""2nd invoice sends the full PO qty"" bug, whose SILENT submit block would be indistinguishable from the Disputed-or-not outcome being measured. Invoices are created from CAPP (PO -> Create -> Invoice), the flow that carries the Item Matching step 69 skips. FINDING: Disputed is applied IMMEDIATELY on submit - poll 1 on the detail page - so no approval step is needed. TRAP, and it was MY OWN: the afterAll fixture snapshot/restore rolled back invoice.invoiceNumber, which is a MONOTONIC COUNTER, not a fixture. That re-issued a number the server had already consumed and the first run died on the app's duplicate validation (INV-AUTO-119, held by Invoice-FNSE-26-376) with Proceed disabled - the app was entirely correct. Fixed by pages/fixtureGuard.js, which restores fixtures but carries counters FORWARD.",PASS
71,Verify that increasing the Quantity or Price while amending/editing a PO displays a Budget Exceeded error during submission when the revised amount exceeds the available budget.,testSuitePoAmendBudget.spec.js,increasing quantity on a PO amend raises Budget Exceeded,"1. Read the PO listing and open /purchase-orders/{id}/amend for the first PO whose amend form renders (Cancelled/Completed do not). Note: Amend/Edit is NOT in the PO More menu - the route must be navigated directly.
2. Read row 1 quantity, price and the f(x) Amount as a baseline (values are comma/decimal formatted, so compare numerically).
3. Set quantity to 999,999,999 and assert it increased.
4. Assert the f(x) Amount recalculated upward.
5. Submit and wait for the ""Workflow Summary"" popup.
6. Assert it carries ""Budget Amount is exceeded. Please Contact Budget User.""
7. Assert no write was attempted, then Discard.",A Budget Exceeded error is displayed on submission when the amended amount exceeds the available budget.,"PASS on PO-NSEFN-26-213 (/purchase-orders/1046, Pending-approval). qty 50 -> 999,999,999; Amount 100,000 -> 1,999,999,998,000. POST /budget-items/703/validate returned validate:false and the ""Workflow Summary"" popup showed ""Budget Amount is exceeded. Please Contact Budget User."" Zero writes attempted; PO verified unchanged afterwards (qty still 50.000).",PASS
72,Verify that an Advance can be requested against a PO from SAPP and the Advance Payment can be successfully processed through CAPP.,testSuitePurchaseOrder.spec.js,record which downstream actions an active PO exposes,"1. Open the Purchase Order listing and open a PO of the required status.
2. Open the actions menu.
3. Read every menu item.
4. Assert the base actions are present; record which downstream actions are.",An advance can be requested from SAPP and processed through CAPP.,PRECONDITION ONLY - same as scenario 64. The CAPP-side Request Advance entry point is recorded; the SAPP-side request and the CAPP payment are not automated.,NOT COVERED (precondition recorded)
